"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"50028","2","0.00785398163397448","2012","ag","0","0","0"
"50028","2","0.00785398163397448","2012","bg","0","0","0"
"50028","2","0.00785398163397448","2012","total","0","0","0"
"50028","3","0.00785398163397448","2012","ag","0","0","0"
"50028","3","0.00785398163397448","2012","bg","0","0","0"
"50028","3","0.00785398163397448","2012","total","0","0","0"
"50028","4","0.00785398163397448","2012","ag","0","0","0"
"50028","4","0.00785398163397448","2012","bg","0","0","0"
"50028","4","0.00785398163397448","2012","total","0","0","0"
"50029","2","0.00785398163397448","2011","ag","0","0","0"
"50029","2","0.00785398163397448","2011","bg","0","0","0"
"50029","2","0.00785398163397448","2011","total","0","0","0"
"50029","4","0.00785398163397448","2011","ag","0","0","0"
"50029","4","0.00785398163397448","2011","bg","0","0","0"
"50029","4","0.00785398163397448","2011","total","0","0","0"
"50030","3","0.00785398163397448","2011","ag","0","0","0"
"50030","3","0.00785398163397448","2011","bg","0","0","0"
"50030","3","0.00785398163397448","2011","total","0","0","0"
"50031","2","0.00785398163397448","2011","ag","0","0","0"
"50031","2","0.00785398163397448","2011","bg","0","0","0"
"50031","2","0.00785398163397448","2011","total","0","0","0"
"50031","3","0.00785398163397448","2011","ag","0","0","0"
"50031","3","0.00785398163397448","2011","bg","0","0","0"
"50031","3","0.00785398163397448","2011","total","0","0","0"
"50032","1","0.00785398163397448","2012","ag","0","0","0"
"50032","1","0.00785398163397448","2012","bg","0","0","0"
"50032","1","0.00785398163397448","2012","total","0","0","0"
"50032","2","0.00785398163397448","2012","ag","0","0","0"
"50032","2","0.00785398163397448","2012","bg","0","0","0"
"50032","2","0.00785398163397448","2012","total","0","0","0"
"50032","4","0.00785398163397448","2012","ag","0","0","0"
"50032","4","0.00785398163397448","2012","bg","0","0","0"
"50032","4","0.00785398163397448","2012","total","0","0","0"
"50034","2","0.00785398163397448","2011","ag","0","0","0"
"50034","2","0.00785398163397448","2011","bg","0","0","0"
"50034","2","0.00785398163397448","2011","total","0","0","0"
"50034","3","0.00785398163397448","2011","ag","0","0","0"
"50034","3","0.00785398163397448","2011","bg","0","0","0"
"50034","3","0.00785398163397448","2011","total","0","0","0"
"50034","4","0.00785398163397448","2011","ag","0","0","0"
"50034","4","0.00785398163397448","2011","bg","0","0","0"
"50034","4","0.00785398163397448","2011","total","0","0","0"
"50036","3","0.00785398163397448","2011","ag","0","0","0"
"50036","3","0.00785398163397448","2011","bg","0","0","0"
"50036","3","0.00785398163397448","2011","total","0","0","0"
"50037","4","0.00785398163397448","2011","ag","0","0","0"
"50037","4","0.00785398163397448","2011","bg","0","0","0"
"50037","4","0.00785398163397448","2011","total","0","0","0"
"50041","1","0.00785398163397448","2012","ag","0","0","0"
"50041","1","0.00785398163397448","2012","bg","0","0","0"
"50041","1","0.00785398163397448","2012","total","0","0","0"
"50041","2","0.00785398163397448","2012","ag","0","0","0"
"50041","2","0.00785398163397448","2012","bg","0","0","0"
"50041","2","0.00785398163397448","2012","total","0","0","0"
"50041","3","0.00785398163397448","2012","ag","0","0","0"
"50041","3","0.00785398163397448","2012","bg","0","0","0"
"50041","3","0.00785398163397448","2012","total","0","0","0"
"50041","4","0.00785398163397448","2012","ag","0","0","0"
"50041","4","0.00785398163397448","2012","bg","0","0","0"
"50041","4","0.00785398163397448","2012","total","0","0","0"
"50043","1","0.00785398163397448","2011","ag","0","0","0"
"50043","1","0.00785398163397448","2011","bg","0","0","0"
