"bund_nr","team","datum","hbi_status","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
120143,"KF",2012-04-16,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120144,"KF",2012-04-16,-9,1,2,2,6,6,1,1,1,1,"-9",NA,NA
120145,"KF",2012-04-18,-9,1,2,1,4,-9,1,1,1,1,"-9",NA,NA
120146,"KF",2012-04-18,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120147,"KF",2012-04-10,-9,1,2,1,4,-9,1,1,1,1,"-9","Aufnahmepunkt 65 cm und 12 gon vom Pflock entfernt.",NA
120148,"KF",2012-04-10,-9,1,8,1,6,-9,2,1,1,1,"-9",NA,NA
120149,"KF",2012-04-05,-9,1,2,4,1,6,2,1,1,1,"-9","Aufnahmepunkt 47 gon und 123 cm vom Pflock",NA
120150,"KF",2012-04-08,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120151,"KF",2012-04-08,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120152,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120153,"KF",2012-04-07,-9,1,2,1,1,-9,1,1,1,2,"-9","Aufnahmepunkt 48cm und 396 gon vom Pflock",NA
120154,"KF",2012-04-03,-9,1,8,4,6,6,6,1,1,1,"-9",NA,NA
120155,"KF",2012-04-04,-9,1,6,6,5,6,2,1,1,1,"-9",NA,NA
120156,"KF",2012-04-03,-9,1,2,2,6,6,2,1,1,1,"-9",NA,NA
120157,"KF",2011-11-16,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120158,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120159,"KF",2012-03-28,-9,1,8,1,2,-9,1,1,1,1,"-9",NA,NA
120160,"KF",2011-11-01,-9,1,2,1,3,-9,1,1,1,1,"-9",NA,NA
120161,"KF",2012-03-30,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120162,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120163,"KF",2011-11-18,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120164,"KF",2011-09-28,-9,1,2,1,1,-9,1,1,1,2,"-9","viele Fehlstellen
Ackeraufforstung",NA
120165,"KF",2012-04-04,-9,1,2,1,6,-9,1,1,1,2,"-9",NA,NA
120166,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120167,"KF",2012-03-29,-9,1,2,1,2,-9,1,1,1,1,"-9","Aufnahmepunkt 1 gon 84 cm vom Pflock",NA
120168,"KF",2011-09-30,-9,1,8,2,2,6,2,1,1,1,"-9","Kronenbruch bei Weide in 6,30 Höhe",NA
120169,"KF",2012-03-30,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120170,"KF",2012-03-19,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120181,"KF",2012-04-12,-9,1,2,2,2,6,1,1,1,1,"-9",NA,NA
120182,"KF",2011-11-30,-9,1,2,2,1,2,1,1,1,1,"-9","an Grube gemessen, neuer Pflock",NA
120183,"KF",2012-03-16,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120184,"KF",2012-04-06,-9,1,2,2,2,4,1,1,1,1,"-9",NA,NA
120185,"KF",2012-03-27,-9,1,2,4,2,6,1,1,1,1,"-9",NA,NA
120186,"KF",2012-03-14,-9,1,2,4,2,6,1,1,1,1,"-9",NA,NA
120187,"KF",2011-11-30,-9,1,4,1,2,-9,1,1,1,1,"-9","Aufnahme am Vegetationskreuz",NA
120188,"KF",2012-03-23,-9,1,5,1,2,-9,1,1,1,1,"-9","level 2 - frisch durchforstet",NA
130001,"KF",2012-06-06,-9,1,7,1,1,-9,2,1,1,1,"-9","punkt konnte nicht eingemessen werden, kein gps empfang",NA
130002,"KF",2012-06-12,-9,1,3,4,2,1,1,1,1,1,"-9",NA,NA
130003,"KF",2012-06-07,-9,1,6,6,3,2,2,1,1,1,"-9",NA,NA
130004,"KF",2012-06-11,-9,1,7,6,3,3,3,1,1,1,"-9",NA,NA
130005,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
130006,"KF",2012-06-11,-9,1,4,2,3,-9,1,1,1,1,"-9",NA,NA
130007,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
130008,"KF",2012-05-25,-9,1,3,1,2,-9,1,1,1,1,"-9",NA,NA
130009,"KF",2012-05-21,-9,1,7,2,6,6,2,1,1,1,"-9",NA,NA
130010,"KF",2012-05-26,-9,1,7,1,1,-9,2,1,1,1,"-9",NA,NA
130011,"KF",2012-05-23,-9,1,1,1,2,-9,1,1,1,1,"-9",NA,NA
130012,"KF",2012-05-21,-9,1,6,2,2,6,4,1,1,1,"-9",NA,NA
130013,"KF",2012-03-12,-9,1,4,1,1,-9,1,1,1,1,"-9",NA,NA
130014,"KF",2012-07-04,-9,1,2,2,4,6,1,1,1,1,"-9",NA,NA
130015,"KF",2012-06-15,-9,1,2,2,3,5,1,1,1,1,"-9",NA,NA
130016,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
130017,"KF",2012-06-14,-9,1,7,1,1,-9,2,1,1,1,"-9",NA,NA
130018,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
130019,"KF",2012-06-12,-9,1,3,1,2,-9,1,1,1,1,"-9",NA,NA
130020,"KF",2012-07-04,-9,1,8,1,6,-9,2,1,1,1,"-9",NA,NA
130021,"KF",2012-07-06,-9,1,2,1,5,-9,1,1,1,1,"-9",NA,NA
130022,"KF",2012-06-05,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
130023,"KF",2012-06-05,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
130024,"KF",2012-06-18,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
130025,"KF",2012-06-15,-9,1,2,2,2,5,1,1,1,1,"-9",NA,NA
130026,"KF",2012-05-24,-9,1,2,2,2,2,1,1,1,1,"-9",NA,NA
130027,"KF",2012-05-24,-9,1,2,2,2,2,1,1,1,1,"-9",NA,NA
130028,"KF",2012-07-08,-9,1,2,2,4,6,1,1,1,1,"-9",NA,NA
130029,"KF",2012-06-04,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
130030,"KF",2012-06-28,-9,1,4,1,1,-9,1,2,1,1,"-9",NA,NA
130031,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
130032,"KF",2012-05-22,-9,1,7,2,2,2,2,1,1,1,"-9",NA,NA
130033,"KF",2012-06-04,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
