"bfhnr","plot_re4","plot_ho4","plot_inventur","plot_huform","plot_bestyp","plot_bodtyp","tf_ot","tf_ut","tf_corg","tf_fbv","tf_trd","tf_sand","tf_schluff","tf_ton","tf_bodart","hori_bez","hori_nr","hori_ot","hori_ut"
120159,4529321,5824918,2,"MUT","LW","GG",10,30,"53,91","1967,37","0,98","90,64","4,41","4,99","mSfs","Gro",4,50,70
120159,4529321,5824918,2,"MUT","LW","GG",30,60,"2,83","4872,06","1,62","93,93","5,3","0,73","mSfs","Sdr Go",5,70,80
120159,4529321,5824918,2,"MUT","LW","GG",60,90,"27,65","4872,06","1,62","78,35","13,8","7,75","Sl2",,6,80,130
130003,4543477,6024152,1,"MOF","Ki","HH",,,,,,,,,,,,,
130004,4519058,6009415,1,"MR","MW","HH",,,,,,,,,,,,,
130009,4550550,5992262,1,,"MW","HH",,,,,,,,,,,,,
130012,4542295,5984617,1,"MO","MW","GG",,,,,,,,,,,,,
130034,4628901,5941882,1,"MUF","LW","HH",,,,,,,,,,,,,
130053,4508320,5921647,1,"MUT","LW","GG",,,,,,,,,,,,,
130058,4564003,5911927,1,,"LW","HH",,,,,,,,,,,,,
130069,4535835,6032839,2,"MUF","MW","GHn",0,5,"267,8","222,5","0,45",,,,"Sl3","Hv",1,0,25
130069,4535835,6032839,2,"MUF","MW","GHn",5,10,"179,7","242,5","0,49",,,,"Sl3","rGr",2,25,44
130069,4535835,6032839,2,"MUF","MW","GHn",10,30,"48,9",1702,"0,85",,,,"Sl3","Gcr",3,44,110
130069,4535835,6032839,2,"MUF","MW","GHn",30,60,"10,4",4200,"1,4",,,,"fS",,,,
130069,4535835,6032839,2,"MUF","MW","GHn",60,90,,4500,"1,5",,,,"fS",,,,
130075,4533284,5952931,2,,"LW","HN",0,5,"304,7","80,5","0,16",,,,"Ha","nHvm",1,0,10
130075,4533284,5952931,2,,"LW","HN",5,10,"277,5","117,5","0,24",,,,"Ha","rnHa",2,10,50
130075,4533284,5952931,2,,"LW","HN",10,30,"343,6",1720,"0,86",,,,"Ha","rnHa",3,50,100
130075,4533284,5952931,2,,"LW","HN",30,60,"451,7",,,,,,"Hnp","nHr",4,100,200
130075,4533284,5952931,2,,"LW","HN",60,90,"488,1",,,,,,"Hnp",,,,
140010,4685771,5708294,2,,"LW","PP-GG",0,5,"29,4","97,3","0,2",,,,"mSfs","Ahe",1,0,10
140010,4685771,5708294,2,,"LW","PP-GG",5,10,"14,2","81,4","0,16",,,,"mSfs","Bsv-Go",2,10,45
140010,4685771,5708294,2,,"LW","PP-GG",10,30,"8,96","302,56","0,15",,,,"mSfs","Gor",3,45,76
140010,4685771,5708294,2,,"LW","PP-GG",30,60,"3,17","4558,08","1,52",,,,"fSms","Gr",4,76,140
140010,4685771,5708294,2,,"LW","PP-GG",60,90,"3,73","4896,63","1,63",,,,"fSms",,,,
150062,4512300,5793500,2,,"LW","KV",0,5,"350,96","139,38","0,28",,,,"Hn","nHv",1,0,30
150062,4512300,5793500,2,,"LW","KV",5,10,"352,02",145,"0,29",,,,"Hn","nHw",2,30,50
150062,4512300,5793500,2,,"LW","KV",10,30,"352,55",460,"0,23",,,,"Hn","nHr",3,50,60
150062,4512300,5793500,2,,"LW","KV",30,60,"351,02",750,"0,25",,,,"Hn",,,,
150062,4512300,5793500,2,,"LW","KV",60,90,"123,96",750,"0,25",,,,"Hn",,,,
150066,4574800,5743600,2,"ROF","LW","GM",5,10,"144,18","196,81","0,39",,,,"Tu3","Go-Aa",1,0,10
150066,4574800,5743600,2,"ROF","LW","GM",10,30,"184,69","1128,25","0,56",,,,"Sl4","Aa-Go",2,10,20
150066,4574800,5743600,2,"ROF","LW","GM",30,60,,"5001,9","1,76",,,,"mSfs","Gr",3,20,60
150066,4574800,5743600,2,"ROF","LW","GM",60,90,,"3786,6","1,47",,,,,,,,
