"bund_nr","pk_nr","pk_aufnahme","pk_richtung","pk_dist","pk_maxdist","pk_anmerkung"
30147,3,1,"s",1000,172,NA
30148,3,1,"s",1000,82,NA
30150,3,1,"s",1000,312,NA
30154,3,1,"s",1000,498,NA
30157,3,1,"s",1000,293,NA
30505,3,1,"s",1000,184,NA
30158,3,1,"s",1000,414,NA
30159,3,1,"s",400,437,NA
30160,3,1,"s",1000,494,NA
30631,3,1,"s",500,178,NA
30161,3,1,"s",1000,124,NA
30163,3,1,"s",1000,476,NA
30632,3,1,"s",400,332,NA
30164,3,1,"s",1000,427,NA
30165,3,1,"s",1000,474,NA
30508,3,1,"s",1000,443,NA
30511,3,1,"s",500,455,NA
30167,3,2,"s",1000,-9,NA
30633,3,1,"s",400,316,NA
30634,3,1,"s",500,218,NA
30635,3,1,"s",1000,155,NA
30636,3,1,"s",1000,413,NA
30168,3,1,"s",1000,364,NA
30169,3,1,"s",1000,352,NA
30637,3,1,"s",1000,474,NA
30170,3,1,"s",1000,492,NA
30171,3,1,"s",1000,488,NA
30503,3,1,"s",1000,478,NA
30638,3,1,"s",1000,234,NA
30639,3,1,"s",1000,362,NA
30178,3,2,"s",1000,-9,NA
30179,3,1,"s",1000,494,NA
30502,3,1,"s",1000,476,NA
30506,3,1,"s",1000,421,NA
30640,3,1,"s",1000,468,NA
30641,3,1,"s",1000,477,NA
30182,3,1,"s",1000,422,NA
30512,3,1,"s",1000,466,NA
30186,3,1,"s",1000,459,NA
30188,3,1,"s",1000,441,NA
30191,3,1,"s",1000,493,NA
30192,3,1,"s",1000,95,NA
30642,3,1,"s",200,314,NA
30516,3,1,"s",1000,373,NA
30517,3,1,"s",1000,314,NA
30643,3,1,"s",1000,296,NA
30518,3,1,"s",1000,331,NA
30644,3,2,"s",1000,-9,NA
30519,3,1,"s",1000,492,NA
30645,3,1,"s",1000,289,NA
30646,3,1,"s",1000,494,NA
30520,3,1,"s",1000,179,NA
30647,3,1,"s",1000,373,NA
30648,3,1,"s",1000,272,NA
30649,3,2,"s",1000,-9,NA
30523,3,2,"s",1000,-9,NA
30650,3,1,"s",1000,187,NA
30651,3,1,"s",300,479,NA
30652,3,2,"s",0,-9,NA
40001,2,1,"o",1000,148,NA
40003,2,1,"o",1000,110,NA
