"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
30164,3164,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOR","MOT","-9","LL-SS","SS","S","p2","+200","-1/-1/-1/-1/-1"
30165,3165,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU","-9","SS-GG","GG","G","p1","+180","-1/-1/-1/-1/-1"
30167,3167,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","PP","PP","P","-9","+160",NA
30168,3168,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO","-9","SS","SS","S","p1","+90","-1/-1/-1/-1/-1"
30169,3169,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOF","MOF","-9","GH","GH","G","p1","+90","-1/-1/-1/-1/-1"
30170,3170,1991,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU","-9","DD-SS","SS","S","p1","+90","-1/-1/-1/-1/-1"
30171,3171,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROA","RO","3","GG","GG","G","p3","+120",NA
30178,3178,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOM","MOM","-9","GG-YE","YE","Y","p1","+180","-1/-1/-1/-1/-1"
30179,3179,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","PP-BB","BB","B","-9","+190","-1/-1/-1/-1/-1"
30182,3182,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","GMO","MOT","-9","PP","PP","P","-9","+185","-1/-1/-1/-1/-1"
30186,3186,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOF","MOF","6","SS","SS","S","p1",NA,NA
30188,3188,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","2","PP","PP","P","-9","+200",NA
30191,3191,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","-9","GG-BB","BB","B","-9","+180","-1/-1/-1/-1/-1"
30192,3192,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO","-9","GG-PP","PP","P","-9","+180","-1/-1/-1/-1/-1"
30501,3501,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","PP-BB","BB","B","-9","+200",NA
30502,3502,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MUO","MU","1","PP","PP","P","-9","+180",NA
