"bfhnr","inventur","tiefenstufe","ot","ut","m_trd_fbv2","m_ea_corg2","m_ea_cco32","m_ea_cges2","m_ea_n2","m_ak_ca2","m_ak_k2","m_ak_mg2","m_ak_na2","m_ak_al2","m_ak_mn2","m_ak_h2","m_ak_fe2","m_ak_ak2","m_ak_bs2","m_as_p2","m_as_ca2","m_as_k2","m_as_mg2","m_as_mn2","m_as_na2","m_as_al2","m_as_fe2","m_as_s2","m_ph_h2o2","m_ph_k2","m_ph_ca2","m_cn2","m_cp2"
80035,2,"0 - 5",0,5,156.7,70.8,0,70.8,4.52,4.55,1.95,4.54,0.23,135.9,1.43,6.35,6.15,161.1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96,3.27,3.47,15.66,NA
80035,2,"5 - 10",5,10,189.4,65.9,0,65.9,3.98,5.55,1.81,4.12,0.01,138.3,1.76,4.36,3.55,159.46,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,3.41,3.63,16.56,NA
80035,2,"10 - 30",10,30,2016.1,46.6,0,46.6,2.68,1.84,1.27,2.04,0.01,92.6,0.6,1.12,0.75,100.23,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,3.77,4,17.39,NA
80035,2,"30 - 60",30,60,1630.6,26,0,26,1.45,0.6,0.84,0.63,0.01,57.3,0.23,0.17,0.17,59.95,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73,4.05,4.29,17.93,NA
80035,2,"60 - 90",60,90,1440,11,0,11,0.662,0.00833333333333333,0.89,0.23,0.01,35.6,0.09,0,0.09,36.92,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73,4.16,4.46,16.62,NA
80036,2,"0 - 5",0,5,240,51.4,0,51.4,2.92,1.06,1.72,1.15,0.38,92.5,0.04,9.76,5.61,112.22,0.04,0.341,0.245,1.966,0.559,0.031,0.247,10.08,6.277,0.363,3.85,3.09,3.24,17.6,150.73
80036,2,"5 - 10",5,10,284,36.7,0,36.7,2.06,0.76,1.39,0.82,0.33,94.9,0.03,6.55,3.89,108.67,0.03,0.271,0.263,2.141,0.536,0.031,0.302,10.01,6.135,0.244,3.94,3.22,3.38,17.82,135.42
80036,2,"10 - 30",10,30,1008,29,0,29,1.31,0.38,0.65,0.33,0.47,77.6,0.03,0.92,0.84,81.22,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,3.83,3.96,22.14,NA
80036,2,"30 - 60",30,60,1701,20.5,0,20.5,0.783,0.00833333333333333,0.31,0.1,0.17,48.7,0.01,0.23,0.24,49.77,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.01,4.15,26.18,NA
80036,2,"60 - 90",60,90,729,7.99,0,7.99,0.369,0.00833333333333333,0.37,0.03,0.17,27.7,0.01,0.08,0.00333333333333333,28.37,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71,4.14,4.29,21.65,NA
80037,2,"0 - 5",0,5,199.5,171,0,171,8.99,31.44,4.26,9.98,0.43,125.4,2.96,7.75,7.97,190.19,0.24,0.605,1.09,1.309,6.281,0.323,0.2,22.732,22.433,0.867,3.93,3.28,3.51,19.02,282.64
80037,2,"5 - 10",5,10,281.2,77.2,0,77.2,4.41,8.26,1.77,2.67,0.24,110.5,2.18,3.32,1.72,130.66,0.1,0.383,0.713,1.496,9.23,0.463,0.289,29.157,27.158,0.377,4.15,3.58,3.76,17.51,201.57
80037,2,"10 - 30",10,30,1163.3,35.5,0,35.5,2.17,3.21,1.02,1.12,0.24,65.1,1.06,1.64,0.28,73.67,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,3.82,4.01,16.36,NA
80037,2,"30 - 60",30,60,4242.1,10.1,0,10.1,0.776,1.64,0.58,0.4,0.33,35.2,0.42,0.96,0.00333333333333333,39.53,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,4,4.25,13.02,NA
80037,2,"60 - 90",60,90,1269,1.86,0,1.86,0.18,3.49,2.18,1.02,0.49,43.4,0.51,2.94,0.00333333333333333,54.03,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,3.57,4.04,10.33,NA
80038,2,"0 - 5",0,5,343.8,34.3,0,34.3,2.12,4.55,2.22,3.06,0.8,80.5,2.4,3.2,0.28,97.01,0.11,0.356,0.383,4.397,6.995,0.54,0.134,30.513,28.814,0.302,4.49,3.62,3.78,16.18,96.35
80038,2,"5 - 10",5,10,416.2,19.3,0,19.3,1.27,1.52,1.29,1.38,0.59,67.5,1,1.62,0.11,75.01,0.06,0.314,0.372,5.352,8.91,0.615,0.173,36.237,34.242,0.185,4.59,3.8,3.95,15.2,61.46
80039,2,"0 - 5",0,5,161.25,113,0,113,6.16,7.84,2.88,2.83,0.92,47.7,0.04,46.71,3.63,112.55,0.13,0.34,0.318,0.506,0.175,0.015,0.0695999984741211,2.952,3.565,1.036,3.6,2.76,2.78,18.34,332.35
80039,2,"5 - 10",5,10,232.5,63.4,0,63.4,2.92,3.41,1.65,1.38,0.66,28.3,0.03,31.29,1.91,68.63,0.1,0.196,0.203,0.403,0.115,0.0111000003814697,0.0645999984741211,2.125,2.84,0.536,3.79,2.81,2.87,21.71,323.47
80039,2,"10 - 30",10,30,288,24.2,0,24.2,1.1,0.9,0.71,0.46,0.45,22.9,0.01,17.2,1.1,43.73,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,3.02,2.99,22,NA
80039,2,"30 - 60",30,60,498,9.95,0,9.95,0.476,1.18,0.45,0.23,0.52,54,0.01,6.89,1.76,65.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,3.32,3.41,20.9,NA
80040,2,"10 - 30",10,30,913,22.1,0,22.1,1.18,2.12,0.91,2.07,0.37,47.7,2.1,0.81,0.17,56.25,0.1,0.41,NA,NA,NA,NA,NA,NA,NA,0.19,4.51,3.97,4.05,18.73,53.9
80040,2,"30 - 60",30,60,1732.5,9.14,0,9.14,0.597,0.96,0.6,0.46,0.35,39.3,1,0.46,0.00333333333333333,43.13,0.05,0.53,NA,NA,NA,NA,NA,NA,NA,0.22,4.46,4.08,4.14,15.31,17.25
80040,2,"60 - 90",60,90,1650,6.16,0,6.16,0.508,0.82,0.51,0.3,0.33,37.5,0.64,0.48,0.00333333333333333,40.58,0.05,0.59,NA,NA,NA,NA,NA,NA,NA,0.16,4.45,4.04,4.12,12.13,10.44
80041,2,"0 - 5",0,5,171.8,134,0,134,7.53,14.51,3.96,7.18,0.47,141.6,1.25,12.6,14.27,195.84,0.13,0.753,0.535,3.45,5.852,0.262,0.302,24.626,26.122,0.805,3.77,3.08,3.27,17.8,177.95
80041,2,"5 - 10",5,10,207.8,64.2,0,64.2,3.64,6.41,2.41,3.39,0.38,123.7,2.53,7.35,4.71,150.88,0.08,0.488,0.298,4.995,7.542,0.458,0.189,36.763,33.916,0.397,3.93,3.24,3.47,17.64,131.56
80041,2,"10 - 30",10,30,550.8,31.2,0,31.2,1.97,2.5,1.72,1.71,0.28,91.1,1.46,2.98,0.88,102.63,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,3.6,3.78,15.84,NA
80041,2,"30 - 60",30,60,385.6,14.2,0,14.2,0.908,1.72,1.09,0.89,0.4,57.4,0.51,1.22,0.13,63.36,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,3.92,4.1,15.64,NA
80041,2,"60 - 90",60,90,702,14.9,0,14.9,0.905,1.68,1.01,0.89,0.87,59.7,0.5,1.01,0.13,65.79,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71,3.93,4.14,16.46,NA
80042,2,"0 - 5",0,5,208,33.4,0,33.4,1.62,1.66,1.28,1.55,0.47,130.1,0.5,20.16,10.46,166.18,0.03,0.472,0.252,2.036,1.234,0.189,0.239,14.933,12.494,0.212,3.52,2.67,3.03,20.62,70.76
80042,2,"5 - 10",5,10,152.5,27.4,0,27.4,1.31,0.86,1.17,1.12,0.42,132.9,1.63,9.17,3.8,151.07,0.02,0.56,0.235,2.107,1.32,0.34,0.155,17.767,13.9,0.153,3.84,3.02,3.33,20.92,48.93
80042,2,"10 - 30",10,30,1264,18.1,0,18.1,0.939,0.5,0.92,0.53,0.17,96.2,1.27,2.38,0.45,102.42,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21,3.47,3.73,19.28,NA
80042,2,"30 - 60",30,60,2605,6.23,0,6.23,0.484,0.28,0.84,0.2,0.01,47.6,0.33,0.4,0.00333333333333333,49.66,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,3.83,4.02,12.87,NA
80042,2,"60 - 90",60,90,1056,4.07,0,4.07,0.311,0.34,0.83,0.13,0.01,50,0.29,0.78,0.00333333333333333,52.38,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,3.72,3.95,13.09,NA
80043,2,"0 - 5",0,5,229.5,134,0,134,4.43,2.75,4.12,3.79,2.52,208.2,0.09,34.18,12.85,268.5,0.05,0.526,0.276,6.09,2.263,0.026,0.188,28.253,8.153,0.532,3.43,2.63,2.91,30.25,254.75
80043,2,"5 - 10",5,10,232.5,90.6,0,90.6,3.3,3.37,3.6,2.96,1.93,176.4,0.13,22.18,9.15,219.72,0.05,0.543,0.198,6.064,2.107,0.025,0.148,26.309,6.594,0.48,3.63,2.83,3.04,27.45,166.85
80043,2,"10 - 30",10,30,1635,20.1,0,20.1,0.772,1.1,1.34,0.79,0.71,64.2,0.04,6.76,2,76.94,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,3.14,3.29,26.04,NA
80043,2,"30 - 60",30,60,2038.5,3.39,0,3.39,0.228,0.2,1.41,0.3,0.26,50.1,0.01,0.85,0.67,53.8,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,3.7,3.75,14.87,NA
80043,2,"60 - 90",60,90,2293.5,1.62,0,1.62,0.148,0.28,1.07,0.33,0.61,39.1,0.06,0.66,3.72,45.83,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,3.74,3.83,10.95,NA
80044,2,"0 - 5",0,5,223.7,85.3,0,85.3,4.31,4.67,1.15,12.28,0.45,186.9,1,7.44,11.99,225.88,0.08,0.704,0.388,3.273,5.519,0.528,0.259,31.337,45.21,0.619,4.04,3.16,3.43,19.79,121.16
80044,2,"5 - 10",5,10,221.4,49.9,0,49.9,2.5,2.2,0.87,6.12,0.4,141.8,2.02,2.8,1.25,157.46,0.06,0.508,0.199,4.781,6.979,0.758,0.128,41.176,45.065,0.329,4.33,3.53,3.74,19.96,98.23
80044,2,"10 - 30",10,30,980,29.9,0,29.9,1.57,0.62,0.63,2.01,0.31,88.3,1.3,0.57,0.21,93.95,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,3.83,4.06,19.04,NA
80044,2,"30 - 60",30,60,1125,12.5,0,12.5,0.758,0.38,0.49,0.33,0.42,44.1,0.13,0.18,0.09,46.12,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,4.05,4.3,16.49,NA
80044,2,"60 - 90",60,90,492,7.79,0,7.79,0.523,0.44,0.47,0.46,0.01,47.1,0.16,0.04,0.00333333333333333,48.68,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,3.99,4.23,14.89,NA
80045,2,"0 - 5",0,5,293.9,68.7,0,68.7,4.32,12.79,2.21,4.64,0.45,157.2,1.65,7.1,3.72,189.76,0.11,0.674,0.456,5.289,6.387,0.524,0.15,34.381,32.086,0.614,3.96,3.22,3.5,15.9,101.93
80045,2,"5 - 10",5,10,317.9,47.2,0,47.2,3.19,5.33,1.67,2.17,0.21,124.5,1.83,3.61,0.56,139.88,0.07,0.549,0.298,5.137,6.434,0.768,0.132,32.469,30.873,0.423,4.2,3.46,3.69,14.8,85.97
90627,2,"10 - 30",10,30,755.38,42.8870284944813,94.3054462368277,137.192474731309,2.07692347100834,111.425127589316,0.0204612476757301,66.9901128407569,0.132624422214864,NA,NA,NA,NA,178.57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9383262530262,7.33004389742569,7.33528078699272,20.65,NA
80046,2,"0 - 5",0,5,161,40.2,0,40.2,1.8,2.63,1.6,1.28,0.52,49.4,0.09,26.75,3.46,85.73,0.07,0.139,0.259,1.534,0.315,0.022,0.329,5.837,2.51,0.233,3.38,2.65,2.89,22.33,289.21
80046,2,"5 - 10",5,10,162.75,23.7,0,23.7,1.03,1.1,1.02,0.53,0.4,78,0.03,17.41,4.79,103.28,0.03,0.1,0.142,1.675,0.487,0.033,0.197,8.674,3.784,0.134,3.47,2.81,3.03,23.01,237
80046,2,"10 - 30",10,30,1105,21.8,0,21.8,0.769,0.26,0.88,0.33,0.28,77.6,0.01,11.22,6.45,97.03,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62,2.99,3.2,28.35,NA
80047,2,"0 - 5",0,5,147.25,54.6,0,54.6,3.12,14.75,1.95,6.55,0.68,95.4,0.93,7.86,20.41,148.53,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,3.34,3.53,17.5,NA
80047,2,"5 - 10",5,10,147.25,101,0,101,5.82,52.97,3.47,13.63,0.9,58.6,4.25,10.8,14.72,159.34,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21,3.27,3.57,17.35,NA
80047,2,"10 - 30",10,30,435.2,35.4,0,35.4,2.11,6.97,1.16,3.52,0.57,102.5,1.21,4.42,1.83,122.18,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,3.51,3.64,16.78,NA
80047,2,"30 - 60",30,60,1281,15.1,0,15.1,0.918,2.18,0.83,1.15,0.59,69.8,0.38,1.13,0.43,76.49,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51,3.86,4.02,16.45,NA
80047,2,"60 - 90",60,90,588,11,0,11,0.754,0.6,0.82,0.33,0.64,48.9,0.22,0.25,0.41,52.17,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.13,4.28,14.59,NA
80048,2,"0 - 5",0,5,245,89.5,0,89.5,5.3,6.51,2.31,3.95,0.66,135.3,1.46,1.47,2.56,154.22,0.09,0.422,1.197,2.234,12.932,0.436,0.433,45.213,37.234,0.509,4.45,3.78,3.92,16.89,212.09
80048,2,"5 - 10",5,10,295,61.7,0,61.7,3.71,4.35,1.76,2.3,0.7,95.1,1.54,0.42,1.12,107.29,0.08,0.422,1.197,2.234,12.932,0.436,0.433,45.213,37.234,0.509,4.62,3.95,4.11,16.63,146.21
80048,2,"10 - 30",10,30,326.4,44.7,0,44.7,2.63,2.71,1.41,1.05,0.84,61.4,0.36,0.47,0.17,68.41,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.08,4.27,17,NA
80048,2,"30 - 60",30,60,981,16.3,0,16.3,0.908,1.3,0.59,0.49,0.5,50,0.2,0.39,0.09,53.56,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,4.12,4.41,17.95,NA
80048,2,"60 - 90",60,90,600,5.68,0,5.68,0.425,4.55,1.2,1.61,0.92,34.2,0.15,0.63,0.04,43.3,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,4.12,4.6,13.36,NA
80049,2,"0 - 5",0,5,293.25,40.3,0,40.3,1.94,16.93,0.85,6.81,0.23,7.2,0.19,18.74,1.12,52.07,0.48,0.164,0.483,0.539,0.275,0.0175,0.0502000007629395,2.662,2.552,0.218,3.76,2.96,3.16,20.77,245.73
80049,2,"5 - 10",5,10,311.25,21.3,0,21.3,1.12,5.71,0.58,4.51,0.19,15.1,0.04,16.62,1.4,44.15,0.25,0.144,0.188,0.579,0.247,0.0118000001907349,0.0332000007629395,3.088,2.343,0.12,3.85,2.95,3.1,19.02,147.92
80049,2,"10 - 30",10,30,1321.8,12.1,0,12.1,0.67,1.62,0.48,2.6,0.24,24.4,0.03,11.84,2.45,43.66,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87,3.07,3.19,18.06,NA
80049,2,"30 - 60",30,60,2842.1,11.2,0,11.2,0.573,0.54,0.58,0.79,0.19,47.1,1.25,0.85,1.03,52.33,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,3.96,3.94,19.55,NA
80049,2,"60 - 90",60,90,2106,4.52,0,4.52,0.359,0.18,0.43,0.13,0.04,18.8,0.26,0.01,0.11,19.96,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,4.33,4.34,12.59,NA
80050,2,"0 - 5",0,5,187.6,94.3,0,94.3,5.7,1.16,2.43,4.05,0.9,195.7,0.64,6.96,10.64,222.48,0.04,0.519,0.217,5.162,6.56,0.291,0.132,36.963,37.962,0.679,3.93,3.36,3.43,16.54,181.7
80050,2,"5 - 10",5,10,187,61.8,0,61.8,3.35,0.84,1.78,1.98,0.66,144,0.93,2.39,2,154.58,0.03,0.463,0.259,6.724,9.188,0.393,0.166,46.272,45.939,0.459,4.24,3.68,3.76,18.45,133.48
80050,2,"10 - 30",10,30,1020.4,34.3,0,34.3,1.81,0.62,1.41,0.76,0.35,88.1,0.45,0.19,0.37,92.25,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.01,4.11,18.95,NA
80050,2,"30 - 60",30,60,1860.5,11.9,0,11.9,0.801,0.78,0.83,0.33,0.23,52.8,0.15,0,0.09,55.21,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,4.18,4.35,14.86,NA
80050,2,"60 - 90",60,90,1765.5,7.34,0,7.34,0.503,0.24,0.83,0.23,0.33,42.6,0.1,0,0.04,44.37,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59,4.21,4.36,14.59,NA
80051,2,"0 - 5",0,5,253.5,18.7,0,18.7,1.24,0.16,0.18,0.26,0.04,20.3,0.01,4.6,1.78,27.33,0.02,0.0773000030517578,0.0506666666666667,0.369,0.0685,0.0025,0.016,1.533,1.811,0.143,4.06,3.59,3.51,15.08,241.91
80051,2,"5 - 10",5,10,267,8.2,0,8.2,0.577,0.00833333333333333,0.00333333333333333,0.1,0.01,13.3,0.00166666666666667,3.01,1.01,17.44,0.01,0.053,0.0506666666666667,0.405,0.0826999969482422,0.00346000003814697,0.016,1.466,1.661,0.06,4.12,3.61,3.6,14.21,154.72
80051,2,"10 - 30",10,30,630,8.25,0,8.25,0.478,0.06,0.09,0.1,0.04,30.2,0.01,2.48,1.4,34.38,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.67,3.63,17.26,NA
80051,2,"30 - 60",30,60,727.5,3.24,0,3.24,0.25,0.00833333333333333,0.00333333333333333,0.07,0.01,12.6,0.01,1.06,0.49,14.25,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,3.72,3.74,12.96,NA
80052,2,"0 - 5",0,5,259,49.1,0,49.1,2.56,12.77,0.96,6.16,0.47,7.8,0.03,19.5,0.99,48.68,0.42,0.193,0.544,0.926,0.276,0.00376999998092651,0.201,3.143,2.282,0.368,3.97,3.01,3.18,19.18,254.4
80052,2,"5 - 10",5,10,303,14.1,0,14.1,0.728,3.45,0.33,2.37,0.19,5.9,0.01,9.14,0.41,21.8,0.29,0.0869000015258789,0.148,0.499,0.153,0.0061100001335144,0.042,1.929,1.833,0.076,4.1,3.15,3.3,19.37,162.26
80052,2,"10 - 30",10,30,1984.3,13,0,13,0.581,1.52,0.1,1.71,0.07,10.1,0.00166666666666667,7.85,0.49,21.84,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11,3.21,3.29,22.38,NA
80052,2,"30 - 60",30,60,2738.6,5.5,0,5.5,0.305,0.4,0.02,1.25,0.01,29.2,0.00166666666666667,5.24,0.77,36.89,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,3.32,3.4,18.03,NA
80053,2,"0 - 5",0,5,350,42.4,0,42.4,2.24,4.89,1.67,2.07,0.43,78,1,21.85,6.73,116.64,0.08,0.222,0.178,4.843,1.703,0.158,0.085,16.639,9.687,0.237,3.22,2.83,3.08,18.93,190.99
80053,2,"5 - 10",5,10,476,15.7,0,15.7,0.876,0.72,1.09,0.72,0.49,93,2.49,7.37,2.49,108.37,0.03,0.179,0.0875,6.186,2.034,0.327,0.056,20.105,11.056,0.119,3.72,3.21,3.33,17.92,87.71
80053,2,"10 - 30",10,30,1962,11.7,0,11.7,0.774,0.3,1.05,0.4,0.21,70.5,2.5,1.41,0.15,76.52,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,3.67,3.72,15.12,NA
80053,2,"30 - 60",30,60,2677.5,5.95,0,5.95,0.493,0.34,1.14,0.23,0.19,40.4,1.69,0.38,0.06,44.43,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,3.92,3.95,12.07,NA
80053,2,"60 - 90",60,90,2925,4.74,0,4.74,0.383,0.26,1.3,0.23,0.52,33.4,1.59,0.27,0.00333333333333333,37.57,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.04,4.01,12.38,NA
80054,2,"0 - 5",0,5,200,74.9,0,74.9,4.13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.875,9.911,2.656,4.291,3.479,0.307,8.266,6.908,1.368,6.73,6.23,6.24,18.14,85.6
80102,2,"5 - 10",5,10,109.3,38.8,0,38.8,1.83,12.77,0.72,3.69,0.4,51.1,2.2,4.12,5.11,80.11,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36,3.56,3.75,21.2,NA
80054,2,"5 - 10",5,10,210,73.9,0,73.9,4.71,87.64,8.08,37.99,0.85,0.1,38.3,0,6.94,179.9,0.75,0.875,9.911,2.656,4.291,3.479,0.307,8.266,6.908,1.368,6.14,5.48,5.87,15.69,84.46
80054,2,"10 - 30",10,30,173.4,84.8,0,84.8,5.71,35.31,3.63,18.21,0.77,16.9,16.06,1.12,0.09,92.09,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,4.05,4.29,14.85,NA
80054,2,"30 - 60",30,60,569.1,19.9,0,19.9,1.08,1.4,1.45,1.12,0.35,34.1,7.98,1.37,0.02,47.79,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,3.83,3.97,18.43,NA
80054,2,"60 - 90",60,90,450,6.01,0,6.01,0.387,0.58,1.38,0.46,0.31,22.8,2.37,0.56,0.02,28.48,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.98,4.07,15.53,NA
80055,2,"0 - 5",0,5,440,35,0,35,1.85,67.5,3.02,11.19,0.68,4.8,7.89,0.8,0.11,95.99,0.86,0.618,3.087,1.961,3.121,1,0.149,14.058,16.417,0.217,5.17,4.22,4.52,18.92,56.63
80055,2,"5 - 10",5,10,595,14.8,0,14.8,1.02,51.54,1.64,8.03,0.56,4.9,4.89,0.61,0.04,72.21,0.86,0.496,2.214,1.658,2.701,0.889,0.0689000015258789,12.621,15.318,0.116,5.35,4.2,4.57,14.51,29.84
80055,2,"10 - 30",10,30,2540,5.61,0,5.61,0.495,48.68,1.16,8.4,0.64,2.6,2.45,0.28,0.00333333333333333,64.21,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66,4.26,4.79,11.33,NA
80055,2,"30 - 60",30,60,4260,1.89,0.227817745803357,2.11781774580336,0.285,88.2,1.71,15.77,0.73,NA,NA,NA,NA,106.41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,4.76,5.46,6.63,NA
80055,2,"60 - 90",60,90,4020,1.26,2.8537170263789,4.1137170263789,0.196,108.31,1.64,14.81,1.03,NA,NA,NA,NA,125.79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,7.58,7.52,6.43,NA
80056,2,"0 - 5",0,5,121.1,108.68,6.3189448441247,114.998944844125,6.37,786.73,2.51,36.67,1.11,NA,NA,NA,NA,827.02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38,6.91,7,17.06,NA
80056,2,"5 - 10",5,10,121.1,97.93,5.07194244604317,103.001942446043,6.02,771.76,2.19,33.09,2.23,NA,NA,NA,NA,809.27,1,0.961,25.341,3.558,5.753,0.925,0.134,33.489,29.897,0.742,7.42,6.95,7.04,16.27,101.9
80056,2,"10 - 30",10,30,804,72.5,13.10551558753,85.60551558753,4.82,580.2,1.46,23.37,0.96,NA,NA,NA,NA,605.99,1,0.9,NA,NA,NA,NA,NA,NA,NA,0.62,7.67,7.13,7.3,15.04,80.56
80056,2,"30 - 60",30,60,1425,30.8,40.6954436450839,71.4954436450839,2.19,327.8,0.88,12.21,0.87,NA,NA,NA,NA,341.76,1,1,NA,NA,NA,NA,NA,NA,NA,0.38,8.16,7.57,7.55,14.06,30.8
80056,2,"60 - 90",60,90,1575,17.2,54.7961630695444,71.9961630695444,1.1,193.57,1.13,8.69,0.78,NA,NA,NA,NA,204.17,1,1.05,NA,NA,NA,NA,NA,NA,NA,0.27,8.32,7.82,7.67,15.64,16.38
80057,2,"0 - 5",0,5,295.8,118.08,0.92326139088729,119.003261390887,7.15,508.7,7.38,24.36,0.59,NA,NA,NA,NA,541.03,1,1.132,11.521,7.669,5.445,1.006,0.17,37.849,36.786,0.747,6.49,5.68,5.89,16.51,104.31
80057,2,"5 - 10",5,10,348.2,81.67,0.731414868105516,82.4014148681055,5.85,507.92,4.07,12.91,0.59,NA,NA,NA,NA,525.49,1,1.097,11.925,8.246,5.782,1.087,0.184,42.378,34.823,0.644,6.92,6.19,6.4,13.96,74.45
80057,2,"10 - 30",10,30,997.9,55.5,3.20143884892086,58.7014388489209,4.5,525.97,3.79,8.36,0.63,NA,NA,NA,NA,538.75,1,0.98,NA,NA,NA,NA,NA,NA,NA,0.54,7.68,7,7.24,12.33,56.63
80057,2,"30 - 60",30,60,264,33.8,29.3045563549161,63.1045563549161,2.22,391.42,3.53,5.2,1.2,NA,NA,NA,NA,401.35,1,1.07,NA,NA,NA,NA,NA,NA,NA,0.45,7.9,7.33,7.38,15.23,31.59
80058,2,"0 - 5",0,5,145,215,0,215,9.47,103.45,6.19,19.65,1.08,59.4,0.13,26.74,5.24,221.88,0.59,0.616,2.774,1.313,0.664,0.08,0.249,6.496,2.172,1.323,3.72,2.95,3.26,22.7,349.03
80058,2,"5 - 10",5,10,250,179,0,179,6.97,47.54,3.19,12.08,0.63,90.9,0.04,26.1,3.85,184.33,0.34,0.617,1.244,2.08,0.759,0.009,0.254,10.249,2.358,0.927,3.76,2.93,3.22,25.68,290.11
80058,2,"10 - 30",10,30,1926,28.3,0,28.3,1.11,7.68,0.7,2.07,0.01,40.9,0.03,7.37,0.62,59.38,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21,3.26,3.49,25.5,NA
80058,2,"30 - 60",30,60,3260.2,9.33,0,9.33,0.404,1.92,0.39,0.46,0.01,32.1,0.01,2.11,0.37,37.37,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37,3.67,3.77,23.09,NA
80058,2,"60 - 90",60,90,855,4.2,0,4.2,0.293,1.46,1.22,0.66,0.28,49.3,0.01,1.17,1.4,55.5,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,3.85,3.92,14.33,NA
80059,2,"0 - 5",0,5,126,82.9,0,82.9,3.28,1.48,2.29,2.5,0.99,191,0.09,23.04,19.4,240.79,0.03,0.459,0.182,2.449,1.924,0.0896999969482422,0.175,21.236,19.176,0.445,3.59,2.91,3.08,25.27,180.61
80059,2,"5 - 10",5,10,126.5,58,0,58,2.11,0.84,1.5,1.19,0.73,177.6,0.06,6.04,10.1,198.06,0.02,0.362,0.179,2.71,2.305,0.119,0.174,27.602,24.509,0.253,3.99,3.36,3.51,27.49,160.22
