"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"32070",21,1,"SER",NA,1,181,130,NA,NA,105.555555555555,509,"2",1
"32070",22,1,"SER",68,1,247,130,NA,NA,110,506,"3",1
"32070",23,NA,"SER",68,1,270,130,NA,NA,114.444444444444,625,"2",1
"32070",24,NA,"SER",88,1,347,130,NA,NA,131.111111111111,977,"2",1
"32070",25,NA,"MBI",NA,1,207,130,NA,NA,144.444444444444,1032,"3",1
"32070",26,NA,"SER",88,1,349.5,130,259,200,188.888888888889,293,"2",1
"32070",27,NA,"SER",88,1,356,130,NA,NA,187.777777777778,1220,"2",1
"32070",28,NA,"MBI",NA,1,106,130,153,127,204.444444444444,1218,NA,2
"32070",29,NA,"MBI",NA,1,192,130,NA,NA,254.444444444444,252,NA,2
"32070",30,1,"SER",68,1,284,130,NA,NA,244.444444444444,608,"2",1
"32070",31,1,"SER",88,1,323,130,NA,NA,243.333333333333,651,"2",1
"32070",32,1,"SER",88,1,374,130,NA,NA,235.555555555555,1075,"2",1
"32070",33,1,"SER",88,1,353,130,NA,NA,232.222222222222,1114,"2",1
"32070",34,1,"SER",88,1,376,130,NA,NA,236.666666666666,1199,"2",1
"32070",35,NA,"SER",68,1,206,130,NA,NA,294.444444444444,433,"3",1
"32070",36,NA,"SER",68,1,258,130,NA,NA,274.444444444444,841,"2",1
"32070",37,1,"SER",88,1,327,130,NA,NA,264.444444444444,1085,"2",1
"32070",38,1,"SER",68,1,259,130,NA,NA,265.555555555555,1158,"2",1
"32070",39,1,"SER",68,1,307,130,NA,NA,261.111111111111,1165,"2",1
"32070",40,1,"SER",68,1,234,130,NA,NA,314.444444444444,584,"3",1
"32070",41,1,"SER",68,1,242,130,NA,NA,313.333333333333,631,"2",1
"32070",42,1,"SER",68,1,244,130,NA,NA,294.444444444444,947,"3",1
"32070",43,1,"SER",68,1,197,130,NA,NA,292.222222222222,975,"4",1
"32070",44,NA,"MBI",NA,1,127,130,109,71,298.888888888889,1029,NA,2
"32070",45,NA,"SER",NA,1,178,130,NA,NA,335.555555555555,660,"2",1
"32070",46,1,"SER",68,1,316,130,NA,NA,322.222222222222,1220,"2",1
"32070",47,1,"SER",68,1,290,130,NA,NA,323.333333333333,1262,"2",1
"32090",1,NA,"SER",NA,1,144,130,NA,NA,263.333333333333,90,"4",1
"32090",2,1,"SER",NA,1,75,130,NA,NA,270,877,"4",1
"32090",3,1,"SER",NA,1,74,130,NA,NA,272.222222222222,875,"4",1
"32090",4,1,"SER",NA,1,120,130,NA,NA,275.555555555555,1012,"4",1
"32090",5,1,"SER",NA,1,106,150,NA,NA,274.444444444444,995,"4",1
"32090",6,1,"SER",NA,1,100,150,NA,NA,276.666666666666,1012,"4",1
"32090",7,NA,"SER",NA,1,127,130,NA,NA,287.777777777777,839,"4",1
"32090",8,NA,"SER",NA,1,86,130,NA,NA,286.666666666666,872,"4",1
"32090",9,NA,"SER",NA,1,165,130,NA,NA,295.555555555555,673,"4",1
"32090",10,NA,"SER",NA,1,137,130,NA,NA,303.333333333333,583,"4",1
"32090",11,NA,"SER",NA,1,100,130,NA,NA,355.555555555555,298,"4",1
