"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,7,104,"SER",200,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,8,104,"SER",170,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,9,NA,"FLB",340,2
33050,"Rätzsee/Fleeth","MV",2022-08-08,"E","Ost",1000,459,10,121,"VBE",35,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,1,NA,"FLB",100,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,2,104,"SER",95,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,3,104,"SER",300,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,4,NA,"FLB",270,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,5,104,"SER",155,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,6,NA,"FLB",90,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,7,NA,"FLB",145,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,8,104,"SER",95,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,9,NA,"FLB",160,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"S","Süd",1000,482,10,104,"SER",590,2
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,1,NA,"FLB",155,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,2,104,"SER",70,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,3,104,"SER",140,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,4,104,"SER",70,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,5,104,"SER",200,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,6,104,"SER",330,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,7,104,"SER",120,0
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,8,NA,"FLB",260,1
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,9,104,"SER",660,3
33050,"Rätzsee/Fleeth","MV",2022-08-08,"W","West",1000,494,10,NA,"FLB",620,2
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,1,104,"SER",420,3
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,2,104,"SER",600,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,3,104,"SER",120,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,4,104,"SER",115,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,5,104,"SER",160,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"N","Nord",1000,498,6,NA,"KD",70,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,1,104,"SER",160,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,2,104,"SER",125,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,3,104,"SER",120,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,4,104,"SER",180,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,5,104,"SER",250,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,6,104,"SER",180,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,7,104,"SER",100,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,8,104,"SER",180,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"E","Ost",1000,483,9,104,"SER",180,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"S","Süd",1000,469,1,104,"SER",320,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"S","Süd",1000,469,2,104,"SER",105,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"S","Süd",1000,469,3,104,"SER",170,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"S","Süd",1000,469,4,104,"SER",160,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"S","Süd",1000,469,5,104,"SER",55,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,1,104,"SER",240,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,2,104,"SER",110,0
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,3,104,"SER",170,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,4,104,"SER",290,1
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,5,104,"SER",230,3
33010,"Pälitzsee/Pelzkuhl","MV",2022-08-10,"W","West",1000,476,6,104,"SER",90,0
