"bund_nr","lfd_nr","typ","baumgruppe","durchmesser","laenge","zersetzung","anzahl"
32080,47,4,1,"20",3,5,-9
32080,48,4,1,"20",2,5,-9
32080,49,1,1,"8",25,4,-9
32080,50,4,1,"22",9,5,-9
33050,1,1,1,"12",16,5,-9
33050,2,1,1,"9",9,2,-9
33050,3,1,1,"10",59,2,-9
33050,4,1,1,"13",20,2,-9
33050,5,4,1,"14",9,4,-9
33050,6,3,1,"18",70,2,-9
33050,7,3,1,"17",87,2,-9
33050,8,2,2,"18",91,2,-9
33050,9,2,2,"20",142,2,-9
33050,10,3,2,"13",73,2,-9
33050,11,2,2,"18",158,2,-9
33050,12,3,2,"18",35,3,-9
33050,13,1,1,"13",40,4,-9
33050,14,4,1,"12",5,5,-9
33050,15,1,1,"16",60,5,-9
33050,16,4,1,"30",12,5,-9
33050,17,1,1,"18",50,4,-9
33050,18,1,1,"28",30,5,-9
33050,19,1,1,"11",60,4,-9
33050,20,4,2,"32",10,5,-9
33050,21,1,2,"10",75,2,-9
33050,22,1,2,"10",54,2,-9
33050,23,2,2,"18",105,2,-9
33050,24,3,2,"10",18,4,-9
33050,25,1,1,"10",36,3,-9
33050,26,4,1,"30",6,5,-9
33050,27,3,2,"16",42,3,-9
33050,28,1,1,"11",25,3,-9
33010,1,1,1,"10",33,2,-9
33010,2,2,1,"11",72,2,-9
33010,3,2,1,"12",70,2,-9
33010,4,2,1,"13",109,2,-9
33010,5,1,1,"7",33,2,-9
33010,6,1,1,"6",46,2,-9
34030,1,1,2,"6",48,1,-9
34030,2,1,2,"13",129,1,-9
34030,3,2,1,"13",103,1,-9
34030,4,3,2,"18",27,1,-9
34030,5,3,2,"10",15,1,-9
34030,6,1,2,"8",83,1,-9
34030,7,4,2,"28",2,5,-9
34030,8,4,2,"20",1,5,-9
34030,9,4,2,"35",3,5,-9
34030,10,4,2,"20",2,5,-9
34030,11,4,2,"20",2,5,-9
34030,12,4,2,"50",3,5,-9
34030,13,4,2,"47",3,5,-9
34030,14,4,2,"31",3,3,-9
34030,15,4,2,"20",2,4,-9
34030,16,1,2,"10",15,5,-9
34030,17,4,2,"22",2,5,-9
34030,18,4,2,"30",2,5,-9
34030,19,4,2,"20",2,5,-9
34030,20,4,2,"38",2,5,-9
34030,21,4,2,"47",2,4,-9
34030,22,3,2,"10",12,4,-9
34030,23,1,2,"8",40,5,-9
34030,24,4,2,"51",2,5,-9
34030,25,1,2,"8",80,1,-9
34030,26,4,2,"30",2,3,-9
34030,27,4,2,"38",3,4,-9
34030,28,4,2,"27",2,4,-9
34030,29,4,2,"27",2,4,-9
34030,30,4,2,"24",2,4,-9
34030,31,4,2,"30",2,4,-9
34040,1,3,2,"11",14,5,-9
34040,2,3,2,"15",15,5,-9
34040,3,1,2,"10",39,2,-9
34040,4,1,2,"12",16,5,-9
34040,5,1,2,"12",76,5,-9
34040,6,1,2,"12",14,5,-9
34040,7,1,2,"8",25,5,-9
34040,8,1,2,"12",12,5,-9
34040,9,1,2,"11",54,2,-9
34040,10,1,2,"15",14,5,-9
34040,11,1,2,"10",66,5,-9
34040,12,4,2,"70",3,5,-9
34040,13,4,2,"18",1,2,-9
34040,14,4,2,"35",2,2,-9
34040,15,4,2,"40",4,2,-9
34040,16,4,2,"30",2,2,-9
34040,17,1,2,"11",13,2,-9
34040,18,4,2,"16",1,2,-9
34040,19,4,2,"30",3,2,-9
34040,20,4,2,"30",3,2,-9
34040,21,4,2,"31",3,2,-9
34040,22,4,2,"12",2,3,-9
34040,23,4,2,"10",2,3,-9
34040,24,4,2,"16",1,3,-9
34040,25,4,2,"32",4,2,-9
34040,26,4,2,"21",2,2,-9
34040,27,4,2,"22",1,4,-9
34040,28,4,2,"40",4,3,-9
34040,29,4,2,"32",3,2,-9
34040,30,4,2,"36",4,2,-9
34040,31,4,2,"30",2,4,-9
34040,32,4,2,"33",4,2,-9
34040,33,4,2,"25",2,3,-9
34040,34,4,2,"40",4,2,-9
34040,35,4,2,"32",2,5,-9
34040,36,4,2,"40",4,2,-9
34040,37,4,2,"39",3,2,-9
34040,38,4,2,"14",5,3,-9
34040,39,4,2,"43",3,3,-9
34040,40,4,2,"30",2,2,-9
34040,41,4,2,"27",1,4,-9
34040,42,4,2,"13",4,5,-9
34040,43,4,2,"34",3,2,-9
34040,44,4,2,"22",1,3,-9
34040,45,3,2,"18",64,3,-9
