"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
30551,-9,-9,-9,NA,NA,-9,31468,4180337,5824629,FALSE,FALSE,"-9",-9
30552,-9,-9,-9,NA,NA,-9,31468,4190982,5855888,FALSE,FALSE,"-9",-9
30553,-9,-9,-9,NA,NA,-9,31468,4209523,5854894,FALSE,FALSE,"-9",-9
30554,-9,-9,-9,NA,NA,-9,31468,4232190,5821893,FALSE,FALSE,"-9",-9
30555,-9,-9,-9,NA,NA,-9,31468,4232856,5837893,FALSE,FALSE,"-9",-9
30556,-9,-9,-9,NA,NA,-9,31468,4240522,5829560,FALSE,FALSE,"-9",-9
30557,-9,-9,-9,NA,NA,-9,31468,4266522,5876552,FALSE,FALSE,"-9",-9
30558,-9,-9,-9,NA,NA,-9,31468,4285542,5947860,FALSE,FALSE,"-9",-9
30559,-9,-9,-9,NA,NA,-9,31468,4208856,5838892,FALSE,FALSE,"-9",-9
30560,-9,-9,-9,NA,NA,-9,31468,4296843,5835228,FALSE,FALSE,"-9",-9
30561,-9,-9,-9,NA,NA,-9,31468,4310845,5786582,FALSE,FALSE,"-9",-9
30562,-9,-9,-9,NA,NA,-9,31468,4312504,5826565,FALSE,FALSE,"-9",-9
30563,-9,-9,-9,NA,NA,-9,31468,4328829,5833896,FALSE,FALSE,"-9",-9
30564,-9,-9,-9,NA,NA,-9,31468,4336492,5825567,FALSE,FALSE,"-9",-9
30565,-9,-9,-9,NA,NA,-9,31468,4345153,5841225,FALSE,FALSE,"-9",-9
30566,-9,-9,-9,NA,NA,-9,31468,4360145,5816575,FALSE,FALSE,"-9",-9
30567,-9,-9,-9,NA,NA,-9,31468,4420000,5863000,FALSE,FALSE,"-9",-9
30568,-9,-9,-9,NA,NA,-9,31468,4172355,5825294,FALSE,FALSE,"-9",-9
30569,-9,-9,-9,NA,NA,-9,31468,4181667,5840592,FALSE,FALSE,"-9",-9
30570,-9,-9,-9,NA,NA,-9,31468,4242191,5869557,FALSE,FALSE,"-9",-9
30571,-9,-9,-9,NA,NA,-9,31468,4338493,5873540,FALSE,FALSE,"-9",-9
30572,-9,-9,-9,NA,NA,-9,31468,4380165,5719653,FALSE,FALSE,"-9",-9
30573,-9,-9,-9,NA,NA,-9,31468,4183001,5856555,FALSE,FALSE,"-9",-9
30574,-9,-9,-9,NA,NA,-9,31468,4357828,5760612,FALSE,FALSE,"-9",-9
30575,-9,-9,-9,NA,NA,-9,31468,4210191,5870895,FALSE,FALSE,"-9",-9
30576,-9,-9,-9,NA,NA,-9,31468,4291520,5899539,FALSE,FALSE,"-9",-9
30577,-9,-9,-9,NA,NA,-9,31468,4354149,5864877,FALSE,FALSE,"-9",-9
30578,-9,-9,-9,NA,NA,-9,31468,4394119,5863206,FALSE,FALSE,"-9",-9
30579,-9,-9,-9,NA,NA,-9,31468,4435500,5898900,TRUE,FALSE,"-9",87
51025,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
80888,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",-9
90451,-9,-9,90451,NA,NA,582,31468,4308134,5521479,FALSE,FALSE,"-9",-9
90452,-9,-9,90452,NA,NA,616,31468,4428095,5502108,FALSE,FALSE,"-9",-9
90453,-9,-9,90453,NA,NA,672,31468,4476098,5470110,FALSE,FALSE,"-9",-9
90454,-9,-9,90454,NA,NA,673,31468,4492097,5470094,FALSE,FALSE,"-9",-9
90455,-9,-9,90455,NA,NA,693,31468,4396086,5454108,FALSE,FALSE,"-9",-9
90456,-9,-9,90456,NA,NA,744,31468,4476092,5422102,FALSE,FALSE,"-9",-9
