"id","kurz","lang","icode","genus","species","ba_bwi","laub_nadel","gueltig_ab","gueltig_bis"
"rfi","RFi","Rotfichte",231,"picea","abies","fi","nb",NA,1899-12-31
"se","Se","Riesenmammutbaum",232,"sequoiadendron","giganteum","snb","nb",NA,NA
"tas","TaS","Sicheltanne",233,"cryptomeria","japonica","snb","nb",NA,NA
"fis","FiS","Stechfichte",234,"picea","pungens","fi","nb",NA,NA
"str","Str","Strobe",235,"pinus","strobus","wey","nb",1986-12-31,NA
"slä","SLä","Sumpflaerche",236,"larix","laricina","lae","nb",NA,1899-12-31
"vta","VTa","Veits Tanne",237,"abies","veitchii","ta","nb",NA,NA
"wfi","WFi","Weißfichte",238,"picea","glauca","fi","nb",NA,NA
"zki","ZKi","Zirbelkiefer",239,"pinus","cembra","ki","nb",2016-12-31,NA
"snd","sNd","sonstige Nadelbaeume",299,"alii","acus","snb","nb",1986-12-31,NA
"swa","SWa","Stinkende Wacholder",303,"juniperus","foetidissima","snb","nb",NA,NA
"kfi","KFi","Kaukasus-Fichte",304,"picea","orientalis","fi","nb",NA,NA
"lze","LZe","Libanon-Zeder",305,"cedrus","libani","snb","nb",NA,NA
"cta","CTa","Kilikische Tanne",306,"abies","cilicica","ta","nb",NA,NA
"gwa","GWa","Gemeiner Wacholder",307,"juniperus","communis","snb","nb",NA,NA
"fra","FrA","Französische Ahorn",308,"acer","monspessulanum","ah","lb",NA,NA
"sba","SbA","Schneeball-Ahorn",309,"acer","opalus","ah","lb",NA,NA
"kap","KAp","Kulturapfel",310,"malus","domestica","slb","lb",NA,NA
"kbi","KBi","Kulturbirne",311,"pyrus","communis","slb","lb",NA,NA
"her","HEr","Herzblättrige Erle",312,"alnus","cordata","erl","lb",NA,NA
"öeb","ÖEb","Östliche Erdbeerbaum",313,"arbutus","andrachne","slb","lb",NA,NA
"web","WEb","Westlicher Erdbeerbaum",314,"arbutus","unedo","slb","lb",NA,NA
"obu","OBu","Orient-Buche",315,"fagus","orientalis","bu","lb",NA,NA
"bsl","BSl","Breitblättrige Steinlinde",316,"phillyrea","latifolia","slb","lb",NA,NA
"wpi","WPi","Wilde Pistazie",317,"pistacia","lentiscus","slb","lb",NA,NA
"eri","Eri","Erikagewächs Strauch",318,"erica","manipuliflora","slb","lb",NA,NA
"ewa","EWa","Griechischer Wacholder",319,"juniperus","excelsa","snb","nb",NA,NA
"owa","OWa","Stech-Wacholder",320,"juniperus","oxycedrus","snb","nb",NA,NA
"pwa","PWa","Phönizische Wacholder",321,"juniperus","phoenicea","snb","nb",NA,NA
"saw","SaW","Stink-Wacholder/Sadebaum",322,"juniperus","sabina","snb","nb",NA,NA
"twa","TWa","Spanischer Wacholder",323,"juniperus","thurifera","snb","nb",NA,NA
